LumiCycle: C6 (Raw)
Date,Time (hr:min),Time (days),counts/sec, baseline 
12/17/2016,03:56,002.17083,00856.157,00808.675
12/17/2016,04:06,002.17778,00849.340,00803.014
12/17/2016,04:16,002.18472,00829.250,00797.302
12/17/2016,04:26,002.19167,00822.904,00791.317
12/17/2016,04:36,002.19861,00813.730,00785.129
12/17/2016,04:46,002.20556,00804.032,00778.529
12/17/2016,04:56,002.21250,00790.651,00771.900
12/17/2016,05:06,002.21944,00783.252,00765.047
12/17/2016,05:16,002.22639,00768.113,00758.297
12/17/2016,05:26,002.23333,00758.291,00751.330
12/17/2016,05:36,002.24028,00746.031,00744.203
12/17/2016,05:46,002.24722,00737.703,00736.894
12/17/2016,05:56,002.25417,00728.286,00729.628
12/17/2016,06:06,002.26111,00722.189,00722.158
12/17/2016,06:16,002.26806,00704.279,00714.889
12/17/2016,06:26,002.27500,00694.684,00707.559
12/17/2016,06:36,002.28194,00684.837,00700.231
12/17/2016,06:46,002.28889,00679.218,00692.947
12/17/2016,06:56,002.29583,00660.737,00685.876
12/17/2016,07:06,002.30278,00654.355,00678.663
12/17/2016,07:16,002.30972,00645.018,00671.649
12/17/2016,07:26,002.31667,00629.031,00664.755
12/17/2016,07:36,002.32361,00619.443,00657.880
12/17/2016,07:46,002.33056,00615.006,00651.210
12/17/2016,07:56,002.33750,00608.574,00644.619
12/17/2016,08:06,002.34444,00591.126,00638.434
12/17/2016,08:16,002.35139,00581.439,00632.181
12/17/2016,08:26,002.35833,00571.332,00626.106
12/17/2016,08:36,002.36528,00568.156,00620.254
12/17/2016,08:46,002.37222,00555.036,00614.810
12/17/2016,08:56,002.37917,00549.792,00609.442
12/17/2016,09:06,002.38611,00540.782,00604.443
12/17/2016,09:16,002.39306,00533.648,00599.724
12/17/2016,09:26,002.40000,00527.067,00595.159
12/17/2016,09:36,002.40694,00515.890,00590.931
12/17/2016,09:46,002.41389,00515.888,00587.033
12/17/2016,09:56,002.42083,00504.667,00583.419
12/17/2016,10:06,002.42778,00496.370,00580.100
12/17/2016,10:16,002.43472,00494.599,00576.970
12/17/2016,10:26,002.44167,00493.330,00574.259
12/17/2016,10:36,002.44861,00482.067,00572.020
12/17/2016,10:46,002.45556,00474.108,00569.853
12/17/2016,10:56,002.46250,00474.232,00568.080
12/17/2016,11:06,002.46944,00467.820,00566.748
12/17/2016,11:16,002.47639,00467.619,00565.648
12/17/2016,11:26,002.48333,00465.744,00565.020
12/17/2016,11:36,002.49028,00462.557,00564.760
12/17/2016,11:46,002.49722,00457.648,00564.913
12/17/2016,11:56,002.50417,00455.876,00565.305
12/17/2016,12:06,002.51111,00452.275,00566.076
12/17/2016,12:16,002.51806,00454.615,00567.129
12/17/2016,12:26,002.52500,00457.654,00568.627
12/17/2016,12:36,002.53194,00457.186,00570.509
12/17/2016,12:46,002.53889,00462.139,00572.722
12/17/2016,12:56,002.54583,00465.317,00575.201
12/17/2016,13:06,002.55278,00465.958,00578.219
12/17/2016,13:16,002.55972,00468.381,00581.395
12/17/2016,13:26,002.56667,00472.401,00584.935
12/17/2016,13:36,002.57361,00473.385,00588.988
12/17/2016,13:46,002.58056,00485.675,00593.216
12/17/2016,13:56,002.58750,00483.275,00597.945
12/17/2016,14:06,002.59444,00494.281,00602.675
12/17/2016,14:16,002.60139,00497.911,00607.983
12/17/2016,14:26,002.60833,00502.550,00613.546
12/17/2016,14:36,002.61528,00510.567,00619.357
12/17/2016,14:46,002.62222,00524.919,00625.142
12/17/2016,14:56,002.62917,00527.455,00631.517
12/17/2016,15:06,002.63611,00543.829,00637.832
12/17/2016,15:16,002.64306,00550.990,00644.514
12/17/2016,15:26,002.65000,00559.685,00651.365
12/17/2016,15:36,002.65694,00569.076,00658.327
12/17/2016,15:46,002.66389,00584.154,00665.469
12/17/2016,15:56,002.67083,00595.237,00672.726
12/17/2016,16:06,002.67778,00608.908,00680.172
12/17/2016,16:16,002.68472,00622.227,00687.817
12/17/2016,16:26,002.69167,00632.747,00695.559
