LumiCycle: E5 (Raw)
Date,Time (hr:min),Time (days),counts/sec, baseline 
12/17/2016,00:51,002.03542,01250.948,00824.543
12/17/2016,01:01,002.04236,01273.250,00826.205
12/17/2016,01:11,002.04931,01289.132,00827.909
12/17/2016,01:21,002.05625,01306.268,00829.631
12/17/2016,01:31,002.06319,01330.381,00831.354
12/17/2016,01:41,002.07014,01335.276,00833.216
12/17/2016,01:51,002.07708,01355.488,00835.056
12/17/2016,02:01,002.08403,01371.224,00837.018
12/17/2016,02:11,002.09097,01384.347,00839.039
12/17/2016,02:21,002.09792,01386.845,00841.219
12/17/2016,02:31,002.10486,01394.563,00843.371
12/17/2016,02:41,002.11181,01398.110,00845.615
12/17/2016,02:51,002.11875,01409.838,00847.869
12/17/2016,03:01,002.12569,01407.656,00850.324
12/17/2016,03:11,002.13264,01415.635,00852.775
12/17/2016,03:21,002.13958,01415.614,00855.354
12/17/2016,03:31,002.14653,01402.429,00858.067
12/17/2016,03:41,002.15347,01396.659,00860.856
12/17/2016,03:51,002.16042,01400.294,00863.625
12/17/2016,04:01,002.16736,01389.950,00866.647
12/17/2016,04:11,002.17431,01383.976,00869.698
12/17/2016,04:21,002.18125,01376.219,00872.910
12/17/2016,04:31,002.18819,01364.620,00876.278
12/17/2016,04:41,002.19514,01361.547,00879.646
12/17/2016,04:51,002.20208,01341.325,00883.218
12/17/2016,05:01,002.20903,01329.529,00886.847
12/17/2016,05:11,002.21597,01305.470,00890.769
12/17/2016,05:21,002.22292,01299.116,00894.672
12/17/2016,05:31,002.22986,01283.612,00898.689
12/17/2016,05:41,002.23681,01269.244,00902.891
12/17/2016,05:51,002.24375,01249.340,00907.232
12/17/2016,06:01,002.25069,01231.154,00911.741
12/17/2016,06:11,002.25764,01214.779,00916.346
12/17/2016,06:21,002.26458,01202.429,00921.057
12/17/2016,06:31,002.27153,01174.605,00925.944
12/17/2016,06:41,002.27847,01163.276,00930.985
12/17/2016,06:51,002.28542,01141.998,00936.166
12/17/2016,07:01,002.29236,01119.756,00941.443
12/17/2016,07:11,002.29931,01097.346,00946.834
12/17/2016,07:21,002.30625,01085.757,00952.358
12/17/2016,07:31,002.31319,01069.048,00957.999
12/17/2016,07:41,002.32014,01048.899,00963.795
12/17/2016,07:51,002.32708,01020.902,00969.754
12/17/2016,08:01,002.33403,01003.592,00975.738
12/17/2016,08:11,002.34097,00992.513,00981.758
12/17/2016,08:21,002.34792,00964.830,00987.946
12/17/2016,08:31,002.35486,00951.933,00994.126
12/17/2016,08:41,002.36181,00930.443,01000.421
12/17/2016,08:51,002.36875,00914.810,01006.768
12/17/2016,09:01,002.37569,00896.659,01013.080
12/17/2016,09:11,002.38264,00875.505,01019.444
12/17/2016,09:21,002.38958,00860.005,01025.793
12/17/2016,09:31,002.39653,00844.265,01032.201
12/17/2016,09:41,002.40347,00826.537,01038.634
12/17/2016,09:51,002.41042,00812.038,01044.986
12/17/2016,10:01,002.41736,00802.380,01051.333
12/17/2016,10:11,002.42431,00786.615,01057.572
12/17/2016,10:21,002.43125,00770.759,01063.885
12/17/2016,10:31,002.43819,00756.458,01070.036
12/17/2016,10:41,002.44514,00744.071,01076.024
12/17/2016,10:51,002.45208,00734.889,01081.953
12/17/2016,11:01,002.45903,00717.912,01087.847
12/17/2016,11:11,002.46597,00705.875,01093.611
12/17/2016,11:21,002.47292,00698.041,01099.183
12/17/2016,11:31,002.47986,00696.802,01104.494
12/17/2016,11:41,002.48681,00682.824,01109.851
12/17/2016,11:51,002.49375,00669.994,01115.020
12/17/2016,12:01,002.50069,00661.045,01120.026
12/17/2016,12:11,002.50764,00658.721,01124.730
12/17/2016,12:21,002.51458,00653.889,01129.249
12/17/2016,12:31,002.52153,00646.551,01133.585
12/17/2016,12:41,002.52847,00642.609,01137.741
12/17/2016,12:51,002.53542,00640.071,01141.705
12/17/2016,13:01,002.54236,00640.098,01145.452
12/17/2016,13:11,002.54931,00635.892,01149.009
12/17/2016,13:21,002.55625,00632.646,01152.314
12/17/2016,13:31,002.56319,00631.770,01155.431
12/17/2016,13:41,002.57014,00624.515,01158.341
12/17/2016,13:51,002.57708,00634.272,01161.035
12/17/2016,14:01,002.58403,00639.735,01163.441
12/17/2016,14:11,002.59097,00639.448,01165.681
12/17/2016,14:21,002.59792,00652.020,01167.623
12/17/2016,14:31,002.60486,00652.133,01169.560
12/17/2016,14:41,002.61181,00654.733,01171.225
12/17/2016,14:51,002.61875,00660.431,01172.722
12/17/2016,15:01,002.62569,00674.865,01174.013
12/17/2016,15:11,002.63264,00681.049,01175.207
12/17/2016,15:21,002.63958,00691.474,01176.203
12/17/2016,15:31,002.64653,00701.036,01177.027
12/17/2016,15:41,002.65347,00712.224,01177.838
12/17/2016,15:51,002.66042,00723.199,01178.530
12/17/2016,16:01,002.66736,00745.557,01178.941
12/17/2016,16:11,002.67431,00759.103,01179.392
12/17/2016,16:21,002.68125,00777.994,01179.692
12/17/2016,16:31,002.68819,00799.986,01179.880
12/17/2016,16:41,002.69514,00811.052,01180.013
12/17/2016,16:51,002.70208,00830.766,01179.943
12/17/2016,17:01,002.70903,00850.463,01179.845
12/17/2016,17:11,002.71597,00879.927,01179.608
12/17/2016,17:21,002.72292,00898.507,01179.471
12/17/2016,17:31,002.72986,00916.726,01179.198
12/17/2016,17:41,002.73681,00951.627,01178.791
12/17/2016,17:51,002.74375,00969.632,01178.479
12/17/2016,18:01,002.75069,01003.756,01178.048
12/17/2016,18:11,002.75764,01029.371,01177.726
12/17/2016,18:21,002.76458,01056.531,01177.279
12/17/2016,18:31,002.77153,01082.254,01176.803
12/17/2016,18:41,002.77847,01123.145,01176.208
12/17/2016,18:51,002.78542,01147.315,01175.707
12/17/2016,19:01,002.79236,01172.182,01175.266
12/17/2016,19:11,002.79931,01199.735,01174.797
12/17/2016,19:21,002.80625,01242.964,01174.304
12/17/2016,19:31,002.81319,01269.488,01173.899
12/17/2016,19:41,002.82014,01301.572,01173.384
12/17/2016,19:51,002.82708,01334.939,01172.884
12/17/2016,20:01,002.83403,01364.094,01172.575
12/17/2016,20:11,002.84097,01391.382,01172.297
12/17/2016,20:21,002.84792,01417.766,01171.985
12/17/2016,20:31,002.85486,01451.473,01171.723
12/17/2016,20:41,002.86181,01474.479,01171.560
12/17/2016,20:51,002.86875,01508.093,01171.348
12/17/2016,21:01,002.87569,01525.074,01171.262
12/17/2016,21:11,002.88264,01551.630,01171.169
12/17/2016,21:21,002.88958,01578.899,01171.159
12/17/2016,21:31,002.89653,01611.154,01171.153
12/17/2016,21:41,002.90347,01631.322,01171.301
12/17/2016,21:51,002.91042,01646.894,01171.532
12/17/2016,22:01,002.91736,01676.114,01171.734
12/17/2016,22:11,002.92431,01688.668,01172.108
12/17/2016,22:21,002.93125,01719.342,01172.389
12/17/2016,22:31,002.93819,01728.853,01172.877
12/17/2016,22:41,002.94514,01735.973,01173.490
12/17/2016,22:51,002.95208,01759.073,01174.059
12/17/2016,23:01,002.95903,01769.750,01174.770
12/17/2016,23:11,002.96597,01778.472,01175.585
12/17/2016,23:21,002.97292,01784.247,01176.564
12/17/2016,23:31,002.97986,01792.779,01177.545
12/17/2016,23:41,002.98681,01806.659,01178.512
12/17/2016,23:51,002.99375,01804.287,01179.721
12/18/2016,00:01,003.00069,01812.645,01180.905
12/18/2016,00:11,003.00764,01813.809,01182.276
12/18/2016,00:21,003.01458,01801.143,01183.749
12/18/2016,00:31,003.02153,01803.029,01185.217
12/18/2016,00:41,003.02847,01800.349,01186.801
12/18/2016,00:51,003.03542,01791.468,01188.541
12/18/2016,01:01,003.04236,01790.617,01190.277
12/18/2016,01:11,003.04931,01781.279,01192.171
12/18/2016,01:21,003.05625,01761.756,01194.245
12/18/2016,01:31,003.06319,01754.248,01196.377
12/18/2016,01:41,003.07014,01742.140,01198.620
12/18/2016,01:51,003.07708,01732.935,01200.919
12/18/2016,02:01,003.08403,01707.521,01203.440
12/18/2016,02:11,003.09097,01693.427,01205.924
12/18/2016,02:21,003.09792,01676.615,01208.572
12/18/2016,02:31,003.10486,01665.805,01211.194
12/18/2016,02:41,003.11181,01637.023,01214.091
12/18/2016,02:51,003.11875,01619.316,01216.965
12/18/2016,03:01,003.12569,01610.177,01219.924
12/18/2016,03:11,003.13264,01585.776,01222.987
12/18/2016,03:21,003.13958,01569.498,01226.107
12/18/2016,03:31,003.14653,01543.851,01229.369
12/18/2016,03:41,003.15347,01530.352,01232.599
12/18/2016,03:51,003.16042,01507.286,01236.042
12/18/2016,04:01,003.16736,01481.828,01239.550
12/18/2016,04:11,003.17431,01468.409,01243.023
12/18/2016,04:21,003.18125,01446.188,01246.569
12/18/2016,04:31,003.18819,01425.161,01250.162
12/18/2016,04:41,003.19514,01394.932,01253.835
12/18/2016,04:51,003.20208,01371.174,01257.533
12/18/2016,05:01,003.20903,01346.937,01261.258
