LumiCycle: 06 (Raw)
Date,Time (hr:min),Time (days),counts/sec, baseline 
12/15/2017,09:37,002.40069,00180.266,00269.392
12/15/2017,09:52,002.41111,00182.710,00268.983
12/15/2017,10:07,002.42153,00185.076,00268.554
12/15/2017,10:22,002.43194,00183.429,00268.241
12/15/2017,10:37,002.44236,00187.886,00267.845
12/15/2017,10:52,002.45278,00190.090,00267.557
12/15/2017,11:07,002.46319,00190.976,00267.326
12/15/2017,11:22,002.47361,00193.355,00267.095
12/15/2017,11:37,002.48403,00194.056,00266.915
12/15/2017,11:52,002.49444,00197.869,00266.661
12/15/2017,12:07,002.50486,00201.234,00266.498
12/15/2017,12:22,002.51528,00205.609,00266.283
12/15/2017,12:37,002.52569,00209.611,00266.147
12/15/2017,12:52,002.53611,00209.643,00266.062
12/15/2017,13:07,002.54653,00216.044,00265.847
12/15/2017,13:22,002.55694,00222.318,00265.705
12/15/2017,13:37,002.56736,00224.670,00265.619
12/15/2017,13:52,002.57778,00230.843,00265.534
12/15/2017,14:07,002.58819,00238.028,00265.455
12/15/2017,14:22,002.59861,00243.437,00265.411
12/15/2017,14:37,002.60903,00251.475,00265.351
12/15/2017,14:52,002.61944,00251.562,00265.414
12/15/2017,15:07,002.62986,00258.646,00265.450
12/15/2017,15:22,002.64028,00263.880,00265.471
12/15/2017,15:37,002.65069,00270.216,00265.517
12/15/2017,15:52,002.66111,00279.137,00265.531
12/15/2017,16:07,002.67153,00280.693,00265.599
12/15/2017,16:22,002.68194,00289.382,00265.615
12/15/2017,16:37,002.69236,00295.322,00265.686
12/15/2017,16:52,002.70278,00300.486,00265.791
12/15/2017,17:07,002.71319,00305.848,00265.884
12/15/2017,17:22,002.72361,00311.824,00265.972
12/15/2017,17:37,002.73403,00314.973,00266.073
12/15/2017,17:52,002.74444,00321.260,00266.149
12/15/2017,18:07,002.75486,00327.307,00266.247
12/15/2017,18:22,002.76528,00327.800,00266.375
12/15/2017,18:37,002.77569,00333.081,00266.469
12/15/2017,18:52,002.78611,00337.805,00266.590
12/15/2017,19:07,002.79653,00342.576,00266.657
12/15/2017,19:22,002.80694,00341.905,00266.749
12/15/2017,19:37,002.81736,00346.512,00266.807
12/15/2017,19:52,002.82778,00347.016,00266.937
12/15/2017,20:07,002.83819,00350.057,00267.006
12/15/2017,20:22,002.84861,00353.355,00267.076
12/15/2017,20:37,002.85903,00352.182,00267.212
12/15/2017,20:52,002.86944,00352.915,00267.274
12/15/2017,21:07,002.87986,00351.686,00267.392
12/15/2017,21:22,002.89028,00351.934,00267.441
12/15/2017,21:37,002.90069,00349.175,00267.557
12/15/2017,21:52,002.91111,00350.010,00267.592
12/15/2017,22:07,002.92153,00348.177,00267.661
12/15/2017,22:22,002.93194,00347.509,00267.715
12/15/2017,22:37,002.94236,00345.427,00267.779
12/15/2017,22:52,002.95278,00348.326,00267.739
12/15/2017,23:07,002.96319,00342.940,00267.755
12/15/2017,23:22,002.97361,00340.055,00267.773
12/15/2017,23:37,002.98403,00338.375,00267.760
12/15/2017,23:52,002.99444,00331.844,00267.829
12/16/2017,00:07,003.00486,00330.389,00267.776
12/16/2017,00:22,003.01528,00323.231,00267.774
12/16/2017,00:37,003.02569,00322.675,00267.651
12/16/2017,00:52,003.03611,00318.718,00267.571
12/16/2017,01:07,003.04653,00310.690,00267.555
12/16/2017,01:22,003.05694,00307.388,00267.433
12/16/2017,01:37,003.06736,00303.814,00267.272
12/16/2017,01:52,003.07778,00300.521,00267.129
12/16/2017,02:07,003.08819,00296.361,00266.948
12/16/2017,02:22,003.09861,00289.327,00266.773
12/16/2017,02:37,003.10903,00285.371,00266.551
12/16/2017,02:52,003.11944,00283.229,00266.254
12/16/2017,03:07,003.12986,00278.293,00266.033
12/16/2017,03:22,003.14028,00269.877,00265.817
12/16/2017,03:37,003.15069,00266.965,00265.520
12/16/2017,03:52,003.16111,00261.806,00265.212
12/16/2017,04:07,003.17153,00254.256,00264.843
12/16/2017,04:22,003.18194,00252.026,00264.480
12/16/2017,04:37,003.19236,00247.511,00264.073
12/16/2017,04:52,003.20278,00245.408,00263.603
12/16/2017,05:07,003.21319,00238.199,00263.192
12/16/2017,05:22,003.22361,00234.517,00262.735
12/16/2017,05:37,003.23403,00230.615,00262.215
12/16/2017,05:52,003.24444,00223.185,00261.732
12/16/2017,06:07,003.25486,00218.985,00261.203
12/16/2017,06:22,003.26528,00218.010,00260.605
12/16/2017,06:37,003.27569,00214.400,00260.053
12/16/2017,06:52,003.28611,00210.837,00259.521
12/16/2017,07:07,003.29653,00207.058,00258.933
12/16/2017,07:22,003.30694,00202.906,00258.346
12/16/2017,07:37,003.31736,00200.090,00257.791
12/16/2017,07:52,003.32778,00201.356,00257.162
12/16/2017,08:07,003.33819,00196.536,00256.587
12/16/2017,08:22,003.34861,00194.383,00255.993
